id,alias
L-U1CMQaOH32UUcoQQ1irw,the-obstacle-complex-syracuse
XOL-h9wnoethprvLaGPRew,the-front-climbing-club-ogden-ogden
yxhbpwrmEqpLM7Vuwt1x6Q,roy-crossfit-roy
WkPR72qRE-L28V5G8qImBw,mori-training-center-ogden
XwrRUuG3LWdL1gI5qV9KJg,bhav-yoga-den-south-ogden
OQiXqvJNZr1j7gaS3zWqvA,higher-ground-hot-yoga-ogden
wGX_icCJ5YcJ5BhNHSqBvg,all-fit-bungee-clinton
wS3Dq9dH1ajkor1a0WW0xw,thunder-fitness-training-salt-lake-city-2
m6pTFnmnZfDuV2u9fxR30w,divine-yoga-studios-fruit-heights
YZT3ZgH9MkPVNjyubnqrWQ,tobins-elite-academy-of-martial-arts-t-e-a-m-clearfield
YezYzE2h-s5IhMDXNF3L2Q,wasatch-crossfit-layton
yKANreSAYDVqFNRIDf_SOw,lifelong-fitness-kaysville-3
X8b0m4kYc4XKL71pNHekWg,warrior-fitness-center-hill-air-force-base
sflHV2IB6GwjQYjcZP4kNA,gpp-fitness-syracuse-and-clearfield-clearfield
L5ZNret3G2WDcFfXQNKNUA,absolute-power-and-fitness-ogden
AWyxrEf34yKrLz5TfUMmLw,the-greenhouse-wellness-studio-syracuse
SLHaicVQDNA7J4188_ulEA,letrono-crossfit-syracuse
QaRe9jql-gfftvuynlCURA,evolutionary-martial-arts-syracuse
x-Jl0gcv-1DSFlOLvJbUGw,the-iron-house-ogden
pOO5lpUnh4opzLiQy6Stbw,renzo-gracie-utah-kaysville
jXPwLfeh0u1RHLM2dGbCiA,brazilian-jiu-jitsu-the-mori-academy-of-martial-arts-clearfield
qZfvROZKjpiyHo9b_ZwUuA,planet-beach-clearfield
HiALQWaeAHb7YndAyisaEw,o-and-ms-hap-kwon-do-martial-arts-institute-sunset-2
ogwFwG0IFtEtqfKWa_BPsA,club-pilates-syracuse-2
LfOiYxWe9zL2HB0N7hY_vg,championship-martial-arts-kaysville
ZS3URlhHn2oSErPYkFfC5g,one-hit-mma-layton
Z9EnVH5Y5_m8NLRJ55wjxQ,planet-fitness-layton-2
Qt6syJvPi5b_5D9HVd4M_g,vasa-fitness-clinton-clinton-3
xnTMW0VOyyI9ulc0zKldLg,fine-tuned-coaching-clearfield
ocFK5QJ-v04MDqNEYBNcaQ,eōs-fitness-layton
0bfYHuSeC6z-NTyw_CAAog,snap-fitness-roy
IPVtJAddqpdUMVuthQcwsw,camp-layton
zaaws11rviM7_W6ivFWolg,snap-fitness-layton-2
FQh6hkad3TCkW23hhTRWXg,
J_1G0ImJEDDqoRfvFq4IuA,sol-spa-layton-layton
XtTxxLUWX4qJv-bL2IvVZw,boxfit-utah-clearfield
7kSEJUVtojuYwtj2HHkVZg,eōs-fitness-roy-2
Ujb5uKHluFfxSSbCgF1GDQ,roy-city-roy
wfwZwztjPq31dNhpIam7xg,eōs-fitness-ogden
CTARmxYLi9JzRKkVb5qgtA,xcite-mma-bluffdale
Qho0KlvFF1GGG_9d5_gLlA,the-elite-training-facility-draper
2X_XMNX40qbIriE1KoftcQ,club-pilates-draper
dlIyEp7YrgQDe61ZLCtfVw,pilates-revolution-and-fitness-draper
_aP3X7uI9cFU_fJ12wovkw,treehouse-athletic-club-draper
s0Rtz3E2ptHQjSwcDO30xQ,total-health-and-fitness-draper-3
kEO0P9hGj5plK9JNecqJKw,orangetheory-fitness-draper-draper
v6-C7iYjv51mqtXAgxjCXw,ute-crossfit-east-draper-draper
HMcmX8DMgQs9pnak5U0Y-A,
SE4Juscv4rS1xEk1jysb_g,bailies-gymnastics-draper
4qDx4OH5hXBCO4pP2RN3nQ,kearns-oquirrh-park-fitness-center-salt-lake-city
AphNEIK_AUE6MioTgJVThg,aerobatics-gym-draper
RjgKwuBWYeumnx5qm5lUqw,premier-fitness-and-massage-bluffdale-2
Qc7mgmpTIERn2twEGBl24Q,bobby-lawrence-karate-of-draper-draper-3
e7XMkv4Z5mfJh9TmqUfziA,crossfit-our-draper
y0JIMu87lLswqQePQ1jWBQ,vasa-fitness-draper-draper-2
JDrrcmvx644yZ_nOIBIUCg,first-bjj-carlson-gracie-utah-murray
5KWqfMdNNxHM1XJlELAHzg,crossfit-draper-draper
aMbkXq6KhKiNwFzHau6RRg,vasa-fitness-kaysville-kaysville-2
KVliI2nXUmpEAiCxKwfntg,
SCfkn72AH-erfZq1WaIKXQ,
LFddrm8xgG3-vkVHuveWog,
etAIbsTWaeLVl0BmaeK2TA,
l5m3WJZ25Au2yzrkfQnhxg,nimbus-athletics-kaysville
66smPrCESsxDTRCTRx9rGg,orangetheory-fitness-kaysville-kaysville
SclDRlYPzhIMI-uLgnkbaQ,fat-alberts-gym-and-fitness-layton
zxzjOOrnK_ew0-zXzcWLTg,pivot-fitness-kaysville-2
hJDV8Vi9G0elQzJRsEXAAg,
w5pWrcM3eAfUEmvBlOhIsA,club-pilates-layton
M83j-Q-BZsPeVPg0hIuIlw,gracie-barra-layton
6HqyofDIs6n2vNWnLn6IXw,premier-martial-arts-kaysville-kaysville
hUrpx9o9mBa6hEhTtAS2gA,
XdHq1cOoRr1-FrfgIaKTYQ,
27F77805UbpazzRKgDIRtA,ritual-hot-yoga-salt-lake-city-south-salt-lake-4
3rKy2MKG7myp1UwH493ZCw,shred415-millcreek-salt-lake-city
oy1xdFEQpPiKY3Excos6bw,the-quarry-provo
rHiiobknJHu2sg05DDLtwA,slc-strength-and-conditioning-salt-lake-city
dIWuc1S5uZQ9HDY2YvWgug,k-effect-training-salt-lake-city
KIGEwfvhL2djSJzEcIP1yQ,3b-yoga-provo
gD8Je8usDaUw3MtF8Fx_lw,orangetheory-fitness-holladay
zO-PMLh1Nwn-h_dOFum-zw,anytime-fitness-payson-2
1KtgHD-THMRbG4wUCF7GiQ,exl-fitness-and-performance-orem-2
0QICNLTzqQSR-ESM4eaMhQ,obsidian-fitness-millcreek
mHhOIDcjugfhbPcsX5CH7Q,gracie-barra-salt-lake-city-salt-lake-city-3
ZpH9dmR0rrEb1_7EYZ5ttg,the-shop-park-city
ndt7zpukUYlyCusmX7-Y4g,mountain-elite-massage-and-the-sanctuary-heber-city
uZiiVMHz822g8apeYXTO3w,park-city-jiu-jitsu-park-city
_P9Vt5nDtR3YYIv9qZCGYQ,yoga-mastery-institute-park-city
ABKfuZPebnRcYMcwAe5o-Q,park-city-yoga-adventures-park-city
OlI52zldU7CNcW59911jYg,eventful-yoga-park-city
738VXgRGymJcWwxVpON0yw,athletic-republic-park-city-2
T5kVm1MSmIfFNQRHlI0o3w,embody-wellness-center-orem
b4m0Gd5_obkQAeQO5lIaiQ,good-movement-studio-park-city
P10HrFkqC-WocznCMcWehw,pilates-by-alison-park-city-2
XLZen65HVcBddtr00ftgfg,now-and-zen-massage-park-city
lqZGCDDYgrNPv3u2rlHInA,peak-45-park-city-park-city
