name,zip_code,latitude,longitude,rating,review_count,category,has_online_services,distance,total_pop,median_income,bachelors_degrees,median_age,pct_bachelors
World Martial Arts - Holladay,84124,40.68687188469229,-111.84476881534854,3.0,15,taekwondo,0,44565.664402709044,22992.0,117500.0,5135.0,39.8,22.333855254001392
Pace Academy Taekwondo,84115,40.69878120115322,-111.88330180943012,5.0,1,martialarts,0,45781.02906695993,28411.0,61505.0,4155.0,33.9,14.62461722572243
Fitnez2u - Personal Training,84106,40.6978909671307,-111.870838925242,5.0,1,healthtrainers,0,45120.64386371819,33791.0,94452.0,8406.0,35.7,24.876446391050873
Salt lake City Personal Trainer - Taylor Empey,84106,40.69987,-111.865249,1.0,1,healthtrainers,0,44638.95732713825,33791.0,94452.0,8406.0,35.7,24.876446391050873
Chris's Total Fitness Personal Training,84106,40.6997074,-111.8652385,0.0,0,healthtrainers,0,44651.52528090177,33791.0,94452.0,8406.0,35.7,24.876446391050873
Spire Fitness,84109,40.70020577485745,-111.8288575,0.0,0,healthtrainers,0,42567.218789243285,25879.0,136823.0,6598.0,35.8,25.49557556319796
Trnsfrm Fitness,84115,40.70543954148935,-111.8932907,0.0,0,gyms,0,45856.90070099217,28411.0,61505.0,4155.0,33.9,14.62461722572243
The Institute of Mixed Martial Arts,84115,40.70822,-111.894521,0.0,0,boxing,0,45716.828337884726,28411.0,61505.0,4155.0,33.9,14.62461722572243
Judy's Gym,84083,40.73074973918212,-114.03861533850431,5.0,3,gyms,0,76430.49970358954,1264.0,45938.0,25.0,28.6,1.9778481012658229
Anytime Fitness,89301,39.2471861608581,-114.870488576476,3.0,2,gyms,0,118493.65946211772,,,,,
Bent Barbell,89301,39.25578,-114.86707,0.0,0,gyms,0,117546.15133110314,,,,,
Crossroads Fitness North,81506,39.1164792,-108.5388129,5.0,10,gyms,0,134072.8593853998,,,,,
Meeker Recreation Center,81641,40.0373993,-107.9071732,4.3,4,recreation,0,117240.62878168277,,,,,
970Muscle,81505,39.0900399895031,-108.587012701868,5.0,2,gyms,0,134827.09710230125,,,,,
Mistyoga,81650,39.5314445,-107.7830276,5.0,2,yoga,0,146380.3719148725,,,,,
HOTWORX - Grand Junction,81501,39.0892,-108.55205,5.0,2,yoga,0,136244.81798130684,,,,,
Grand Valley Climbing,81505,39.0934459310134,-108.590768873692,3.5,16,yoga,0,134345.35787156379,,,,,
