category_group,price,median_income,median_home_value,median_age,pct_bachelors,pct_prime_gym_age,total_pop,competition_1km,competition_3km,market_gap,gym_density_per_1k,income_per_competitor,is_thriving,id,name,zip_code,latitude,longitude
general_gym,0,87813.0,648900.0,40.9,24.171337069655724,20.144115292233785,24980.0,6,14,26484.210526315783,0.7205764611689351,5854.2,1.0,gD8Je8usDaUw3MtF8Fx_lw,Orangetheory Fitness,84117,40.66947,-111.82415
mind_body,0,128295.0,1795000.0,49.4,32.77642417913911,15.697876783849637,8619.0,7,20,5412.0,2.7845457709711106,6109.285714285715,1.0,ZpH9dmR0rrEb1_7EYZ5ttg,The Shop,84060,40.65032,-111.50286
martial_arts,0,174119.0,1207200.0,42.3,29.405118632411455,14.99238591148008,20357.0,0,1,11303.703703703704,1.277201945276809,87059.5,1.0,uZiiVMHz822g8apeYXTO3w,Park City Jiu Jitsu,84098,40.7233382,-111.4869298
mind_body,0,174119.0,1207200.0,42.3,29.405118632411455,14.99238591148008,20357.0,3,3,11303.703703703704,1.277201945276809,43529.75,1.0,_P9Vt5nDtR3YYIv9qZCGYQ,Yoga Mastery Institute,84098,40.750914434168955,-111.572402
other,0,151343.0,891500.0,40.0,26.15249524367042,11.503000146348604,6833.0,0,0,26200.0,0.2926972047416947,151343.0,1.0,ABKfuZPebnRcYMcwAe5o-Q,Park City Yoga Adventures,84049,40.632379,-111.441694
other,2,128295.0,1795000.0,49.4,32.77642417913911,15.697876783849637,8619.0,11,20,5412.0,2.7845457709711106,6109.285714285715,1.0,XLZen65HVcBddtr00ftgfg,Now and Zen Massage,84060,40.663453,-111.493592
mind_body,0,174119.0,1207200.0,42.3,29.405118632411455,14.99238591148008,20357.0,14,19,11303.703703703704,1.277201945276809,8705.95,1.0,iyl5pp_3FMvW_Lr43_cniQ,Salt Pilates,84098,40.720173,-111.542444
general_gym,0,128295.0,1795000.0,49.4,32.77642417913911,15.697876783849637,8619.0,11,20,5412.0,2.7845457709711106,6109.285714285715,1.0,xZYD_VhZOn9pWVTbiLa-ng,CrossFit MinersTown Strength & Conditioning,84060,40.66077,-111.506127
other,0,174119.0,1207200.0,42.3,29.405118632411455,14.99238591148008,20357.0,14,19,11303.703703703704,1.277201945276809,8705.95,1.0,VKVabnpMFeBqnRmUFVzJ2Q,Pure Barre,84098,40.7232268,-111.5420325
general_gym,0,174119.0,1207200.0,42.3,29.405118632411455,14.99238591148008,20357.0,14,19,11303.703703703704,1.277201945276809,8705.95,0.0,ykzvwtiVfW_gG02pO5okww,Silver Mountain Sports Club,84098,40.72485146543187,-111.54182727055225
general_gym,0,128365.0,542500.0,36.3,19.16938510645761,20.17959240941457,28509.0,5,6,143825.0,0.10522992739135009,18337.85714285714,0.0,5oSyXTidRxtO3dbDoLZaHQ,Anytime Fitness,84040,41.1000011,-111.9424875
personal_training,0,89604.0,443100.0,30.8,11.31569409206234,23.948894527002537,55180.0,1,19,52860.0,0.43494019572308806,4480.2,0.0,RdHygla3Xu6h9lMvHp0pXA,VASA Fitness - Layton,84041,41.09085,-111.999803
mind_body,0,82780.0,440200.0,28.4,17.347685800276565,28.516038068382095,36881.0,6,31,43820.833333333336,0.6236273419918115,2586.875,1.0,vDdZjUsBXDpVd7y4yj1lOQ,InBalance Wellness and Yoga,84057,40.313432,-111.707028
