category_group,price,median_income,median_home_value,median_age,pct_bachelors,pct_prime_gym_age,total_pop,competition_1km,competition_3km,market_gap,gym_density_per_1k,income_per_competitor,success_score,id,name,zip_code,latitude,longitude
martial_arts,0,100734.0,471600.0,27.8,11.538461538461538,23.08786519312835,18278.0,1,1,140666.66666666666,0.109421162052741,50367.0,0.0,9N_puDOaNXSxhs6hRwbczw,Elite Yoshukai Karate,84655,39.975218,-111.77778
mind_body,0,96999.0,459300.0,30.9,12.419076026166833,19.865776361725924,29503.0,2,5,83728.5714285714,0.20336914890011185,16166.5,0.0,VMi7OtXM4MWyYOBFcmtzfg,Tree of Life Studios,84651,40.04266,-111.73245
personal_training,0,100734.0,471600.0,27.8,11.538461538461538,23.08786519312835,18278.0,1,1,140666.66666666666,0.109421162052741,50367.0,0.0,xZbkZvIJAp4xA4ZLanSHnA,MC Fitness,84655,39.97576,-111.7873
martial_arts,0,96999.0,459300.0,30.9,12.419076026166833,19.865776361725924,29503.0,1,5,83728.5714285714,0.20336914890011185,16166.5,0.0,uC9zuZH89sV1HjsC7p9Gng,Omega Martial Arts,84651,40.0448303222656,-111.718292236328
general_gym,0,96999.0,459300.0,30.9,12.419076026166833,19.865776361725924,29503.0,1,5,83728.5714285714,0.20336914890011185,16166.5,0.0,tPMuM6I5q24tBEmqnGvu4A,Pepperbox CrossFit,84651,40.0444799,-111.718278
mind_body,0,96999.0,459300.0,30.9,12.419076026166833,19.865776361725924,29503.0,2,5,83728.5714285714,0.20336914890011185,16166.5,0.0,gXx99XHCAGqEFU90EFfoQQ,Still Summit,84651,40.042652161941355,-111.7320709
personal_training,0,112454.0,610600.0,29.3,15.301509462876409,19.170944755191176,13051.0,0,0,125100.0,0.07662248103593594,112454.0,0.0,l7_w7vBE133SD_X0qbMAZg,Georgi Tactical Integrations,84653,40.053891,-111.672228
general_gym,0,104355.0,489000.0,28.3,15.381923718173024,20.34044830496264,48583.0,0,15,61762.5,0.3087499742708355,6522.1875,0.6488243744103859,J32chWIo4K0LaeNM__ZTnA,Hermes Crossfit,84660,40.135825,-111.659219
martial_arts,0,104355.0,489000.0,28.3,15.381923718173024,20.34044830496264,48583.0,4,13,61762.5,0.3087499742708355,7453.928571428572,0.551588439863031,GRoSdph0JfzElEzWu_g9_w,Rise Martial Arts,84660,40.1113090515137,-111.655181884766
general_gym,0,104355.0,489000.0,28.3,15.381923718173024,20.34044830496264,48583.0,6,13,61762.5,0.3087499742708355,7453.928571428572,0.5922233970799275,5Wh3wdXeAwQzh6ouTp9MCw,VASA Fitness Spanish Fork,84660,40.118132141585946,-111.63980220559962
mind_body,0,104355.0,489000.0,28.3,15.381923718173024,20.34044830496264,48583.0,4,13,61762.5,0.3087499742708355,7453.928571428572,0.5640951693284909,CFQf_MD8a_15g6-k7l9I9g,Starlyte Yoga,84660,40.1132084460961,-111.65450365353
martial_arts,0,104355.0,489000.0,28.3,15.381923718173024,20.34044830496264,48583.0,6,13,61762.5,0.3087499742708355,7453.928571428572,0.5197787785200129,yq3J7JRH8aqNB7ZHxmQkuQ,Bobby Lawrence Karate Schools,84660,40.122572891394,-111.640413480599
mind_body,0,104355.0,489000.0,28.3,15.381923718173024,20.34044830496264,48583.0,6,13,61762.5,0.3087499742708355,7453.928571428572,0.3581903386569818,P5Mqvrjj5l1T7qHMi0ShzQ,"HOTWORX - Spanish Fork, UT",84660,40.12356456371008,-111.64675174110212
mind_body,0,104355.0,489000.0,28.3,15.381923718173024,20.34044830496264,48583.0,7,13,61762.5,0.3087499742708355,7453.928571428572,0.0,pK_xnit4atWjYfplm2l26g,The Core Pilates and Yoga studio,84660,40.12618,-111.63991
martial_arts,0,104355.0,489000.0,28.3,15.381923718173024,20.34044830496264,48583.0,4,13,61762.5,0.3087499742708355,7453.928571428572,0.0,m_zBrxuqQEEqD9vxDWG11Q,Deep Half Brazilian Jiu Jitsu,84660,40.11098,-111.65438
mind_body,0,104355.0,489000.0,28.3,15.381923718173024,20.34044830496264,48583.0,7,13,61762.5,0.3087499742708355,7453.928571428572,0.0,UFTGCttHzlgw3KM1v4M6zQ,The Core Pilates and Yoga Studio,84660,40.126374,-111.640198
general_gym,0,132601.0,746900.0,30.8,16.85082872928177,13.08317986494782,13032.0,1,3,28416.666666666668,0.38367096378146104,33150.25,0.0,OooI5Ca0dvlC6KKvfEMWNw,Simply Fit Personal Training,84664,40.14528,-111.56916
martial_arts,0,104355.0,489000.0,28.3,15.381923718173024,20.34044830496264,48583.0,6,13,61762.5,0.3087499742708355,7453.928571428572,0.0,vdhFWEfnHkqcj8hO5QQl0A,Paul Tom's Academy of Brazilian Jiu Jitsu,84660,40.123191,-111.635421
martial_arts,0,104355.0,489000.0,28.3,15.381923718173024,20.34044830496264,48583.0,4,13,61762.5,0.3087499742708355,7453.928571428572,0.0,WLZpdglh1a8Rz2P6U4JQRg,Mountain West Grappling,84660,40.11132,-111.65504
personal_training,0,132601.0,746900.0,30.8,16.85082872928177,13.08317986494782,13032.0,0,1,28416.666666666668,0.38367096378146104,66300.5,0.401588439863031,9nm7P-5P3ao0ZyVUgOgGzw,The Barn Elite Training Facility,84664,40.1080255,-111.5983081
mind_body,0,104355.0,489000.0,28.3,15.381923718173024,20.34044830496264,48583.0,4,13,61762.5,0.3087499742708355,7453.928571428572,0.0,X7Cv7AlQSs9JMUya7_uo3g,Bottom’s Up Yoga Studio,84660,40.11144462973508,-111.6543824364044
other,0,104355.0,489000.0,28.3,15.381923718173024,20.34044830496264,48583.0,2,16,61762.5,0.3087499742708355,6138.529411764706,0.0,23FTYykm5Vb29gDiAj6X8w,Tee Box,84660,40.1341821,-111.63833049267168
personal_training,0,104355.0,489000.0,28.3,15.381923718173024,20.34044830496264,48583.0,0,1,61762.5,0.3087499742708355,52177.5,0.0,KxCs4VyMuXsWXiy5-SCuMQ,Adaptive Bodybuilding Team,84660,40.08792,-111.60241
martial_arts,0,90252.0,455800.0,28.7,14.914243102162567,23.669456182506146,36207.0,1,9,47611.11111111111,0.4695224680310437,9025.2,0.0,ZC3_-RR6zSuS_-inGTG2Ng,Tiger Den Dojo,84663,40.151164,-111.609717
other,0,95147.0,269400.0,30.0,5.011933174224343,22.434367541766107,838.0,0,0,9399.999999999998,1.1933174224343677,95147.0,0.0,aWC8St2Xjsy2mPNWXbHTqQ,MokeyJoe Fitness,84633,39.9510264816174,-111.90084613093508
